,,,,
28315,Aberdeen,,NC,Moore County
27006,Advance,,NC,Davie County
27910,Ahoskie,,NC,Hertford County
27201,Alamance,,NC,Alamance County
28001,Albemarle,,NC,Stanly County
28002,Albemarle,,NC,Stanly County
28508,Albertson,,NC,Duplin County
28701,Alexander,,NC,Buncombe County
28006,Alexis,,NC,Gaston County
28509,Alliance,,NC,Pamlico County
28702,Almond,,NC,Graham County
27202,Altamahaw,,NC,Alamance County
28901,Andrews,,NC,Cherokee County
27501,Angier,,NC,Harnett County
28007,Ansonville,,NC,Anson County
27502,Apex,,NC,Wake County
27523,Apex,,NC,Wake County
27539,Apex,,NC,Wake County
28510,Arapahoe,"Minnesott Bch, Minnesott Beach",NC,Pamlico County
27007,Ararat,,NC,Surry County
28704,Arden,,NC,Buncombe County
28420,Ash,,NC,Brunswick County
27203,Asheboro,,NC,Randolph County
27204,Asheboro,,NC,Randolph County
27205,Asheboro,,NC,Randolph County
28801,Asheville,,NC,Buncombe County
28802,Asheville,,NC,Buncombe County
28803,Asheville,"Biltmore Forest, Biltmore Frst",NC,Buncombe County
28804,Asheville,Woodfin,NC,Buncombe County
28805,Asheville,,NC,Buncombe County
28806,Asheville,,NC,Buncombe County
28810,Asheville,,NC,Buncombe County
28813,Asheville,,NC,Buncombe County
28814,Asheville,,NC,Buncombe County
28815,Asheville,,NC,Buncombe County
28816,Asheville,,NC,Buncombe County
28421,Atkinson,,NC,Pender County
28511,Atlantic,,NC,Carteret County
28512,Atlantic Beach,"Atlantic Bch, Indian Beach, Pine Knoll Shores, Pks",NC,Carteret County
27805,Aulander,,NC,Hertford County
27806,Aurora,,NC,Beaufort County
28318,Autryville,,NC,Sampson County
27915,Avon,,NC,Dare County
28513,Ayden,,NC,Pitt County
27916,Aydlett,,NC,Currituck County
28009,Badin,,NC,Stanly County
27503,Bahama,,NC,Durham County
27807,Bailey,,NC,Nash County
28705,Bakersville,,NC,Mitchell County
28707,Balsam,,NC,Jackson County
28708,Balsam Grove,,NC,Transylvania County
28604,Banner Elk,"Beech Mnt, Beech Mountain, Seven Devils, Sugar Mountain, Sugar Mtn",NC,Watauga County
27917,Barco,,NC,Currituck County
28010,Barium Springs,Barium Spngs,NC,Iredell County
28709,Barnardsville,,NC,Buncombe County
28319,Barnesville,,NC,Robeson County
28710,Bat Cave,,NC,Henderson County
27808,Bath,,NC,Beaufort County
27809,Battleboro,,NC,Nash County
28515,Bayboro,Mesic,NC,Pamlico County
27207,Bear Creek,,NC,Chatham County
28516,Beaufort,,NC,Carteret County
27009,Belews Creek,,NC,Forsyth County
27810,Belhaven,,NC,Beaufort County
27811,Bellarthur,,NC,Pitt County
28012,Belmont,,NC,Gaston County
27919,Belvidere,,NC,Perquimans County
27208,Bennett,,NC,Chatham County
27504,Benson,,NC,Johnston County
28016,Bessemer City,,NC,Gaston County
27010,Bethania,,NC,Forsyth County
27812,Bethel,,NC,Pitt County
28518,Beulaville,,NC,Duplin County
27209,Biscoe,,NC,Montgomery County
27813,Black Creek,,NC,Wilson County
28711,Black Mountain,Black Mtn,NC,Buncombe County
28320,Bladenboro,Butters,NC,Bladen County
27212,Blanch,,NC,Caswell County
27814,Blounts Creek,,NC,Beaufort County
28605,Blowing Rock,,NC,Watauga County
28017,Boiling Springs,Boiling Spgs,NC,Cleveland County
28422,Bolivia,,NC,Brunswick County
28423,Bolton,,NC,Columbus County
27213,Bonlee,,NC,Chatham County
28606,Boomer,,NC,Wilkes County
28607,Boone,,NC,Watauga County
28608,Boone,,NC,Watauga County
27011,Boonville,Booneville,NC,Yadkin County
28018,Bostic,,NC,Rutherford County
28902,Brasstown,,NC,Clay County
28712,Brevard,,NC,Transylvania County
28519,Bridgeton,,NC,Craven County
27505,Broadway,,NC,Harnett County
27214,Browns Summit,,NC,Guilford County
28424,Brunswick,,NC,Columbus County
28713,Bryson City,,NC,Swain County
27506,Buies Creek,,NC,Harnett County
27507,Bullock,,NC,Granville County
27508,Bunn,,NC,Franklin County
28323,Bunnlevel,,NC,Harnett County
28425,Burgaw,Saint Helena,NC,Pender County
27215,Burlington,Glen Raven,NC,Alamance County
27216,Burlington,,NC,Alamance County
27217,Burlington,Green Level,NC,Alamance County
27220,Burlington,,NC,Alamance County
28714,Burnsville,,NC,Yancey County
27509,Butner,,NC,Granville County
27920,Buxton,,NC,Dare County
27228,Bynum,Pittsboro,NC,Chatham County
28467,Calabash,"Carolina Shor, Carolina Shores",NC,Brunswick County
28325,Calypso,,NC,Duplin County
27921,Camden,,NC,Camden County
28326,Cameron,,NC,Harnett County
28542,Camp Lejeune,Jacksonville,NC,Onslow County
